Year,Name,Role
1989,Petar Kenderov,Chairman
1989,Alejandro Pita Hernández,IC member
1989,Christos Kilias,IC member
1989,Peter Heyderhoff,IC member
1989,S. Chen,IC member
1989,S. Mahere,IC member
1989,Stanisław Waligórski,IC member
1989,Vladimir Kiryukhin,IC member
1990,N. Krasovsky,Chairman
1990,Alicia Bañuelos,IC member
1990,Christos Kilias,IC member
1990,Håkan Strömberg,IC member
1990,James Walt,IC member
1990,Pavel Azalov,IC member
1990,Peter Heyderhoff,IC member
1990,Ries Kock,IC member
1990,Vladimir Kiryukhin,IC member
1990,Wenhu Wu,IC member
1991,Christos Kilias,Chairman
1991,George Philokyprou,Chairman
1991,Alicia Bañuelos,IC member
1991,Håkan Strömberg,IC member
1991,James Walt,IC member
1991,Pavel Azalov,IC member
1991,Péter Hanák,IC member
1991,Peter Heyderhoff,IC member
1991,Ries Kock,IC member
1991,Vladimir Kiryukhin,IC member
1991,Yngve Lindberg,IC member
1992,Peter Heyderhoff,Chairman
1992,Peter Widmayer,Chairman
1992,Alicia Bañuelos,IC member
1992,Christos Kilias,IC member
1992,Ha Jine Kimn,IC member
1992,Håkan Strömberg,IC member
1992,Pavel Azalov,IC member
1992,Péter Hanák,IC member
1992,Ries Kock,IC member
1992,Steven Bird,IC member
1992,Vladimir Kiryukhin,IC member
1992,Vladimir Kotov,IC member
1992,Yngve Lindberg,IC member
1993,Alicia Bañuelos,Chairman
1993,Gabriele Reich,IC member
1993,Ha Jine Kimn,IC member
1993,Håkan Strömberg,IC member
1993,Péter Hanák,IC member
1993,Peter Waker,IC member
1993,Ries Kock,IC member
1993,Yngve Lindberg,IC member
1994,Yngve Lindberg,Chairman
1994,Alicia Bañuelos,IC member
1994,Don Piele,IC member
1994,Gabriele Reich,IC member
1994,Ha Jine Kimn,IC member
1994,Håkan Strömberg,IC member
1994,Kanchit Malaivongs,IC member
1994,Péter Hanák,IC member
1994,Peter Waker,IC member
1994,Ries Kock,IC member
1994,Willem van der Vegt,ISC member
1995,Ries Kock,Chairman
1995,Alicia Bañuelos,IC member
1995,Don Piele,IC member
1995,Gabriele Reich,IC member
1995,Ha Jine Kimn,IC member
1995,Håkan Strömberg,IC member
1995,Kanchit Malaivongs,IC member
1995,Pedro Guerreiro,IC member
1995,Péter Hanák,IC member
1995,Peter Waker,IC member
1995,Ria van Ouwerkerk,IC member
1995,Yngve Lindberg,IC member
1995,Tom Verhoeff,ISC member
1995,Willem van der Vegt,ISC member
1996,Gyula Horváth,Chairman
1996,Péter Hanák,Chairman
1996,Alicia Bañuelos,IC member
1996,António Caleço,IC member
1996,Don Piele,IC member
1996,Göktürk Üçoluk ,IC member
1996,Ha Jine Kimn,IC member
1996,Håkan Strömberg,IC member
1996,Kanchit Malaivongs,IC member
1996,László Zsakó,IC member
1996,Lionel Hartmann,IC member
1996,Ria van Ouwerkerk,IC member
1996,Ries Kock,IC member
1997,Lionel Hartmann,Chairman
1997,António Caleço,IC member
1997,Don Piele,IC member
1997,Göktürk Üçoluk ,IC member
1997,Håkan Strömberg,IC member
1997,Hongxi Xue,IC member
1997,Péter Hanák,IC member
1997,Ria van Ouwerkerk,IC member
1997,Ries Kock,IC member
1997,Stanisław Waligórski,IC member
1997,Zide Du,IC member
1998,Alexandre Cerveira,Chairman
1998,António Caleço,IC member
1998,Don Piele,IC member
1998,Göktürk Üçoluk ,IC member
1998,Hongxi Xue,IC member
1998,Jari Koivisto,IC member
1998,Lionel Hartmann,IC member
1998,Péter Hanák,IC member
1998,Ria van Ouwerkerk,IC member
1998,Ries Kock,IC member
1998,Stanisław Waligórski,IC member
1998,Zide Du,IC member
1999,Göktürk Üçoluk ,Chairman
1999,Alexandre Cerveira,IC member
1999,António Caleço,IC member
1999,Don Piele,IC member
1999,Ha Jine Kimn,IC member
1999,Jari Koivisto,IC member
1999,Lionel Hartmann,IC member
1999,Péter Hanák,IC member
1999,Richard Forster,IC member
1999,Stanisław Waligórski,IC member
1999,Zide Du,IC member
1999,İsmail Hakkı Toroslu,ISC member
1999,Jyrki Nummenmaa,ISC member
1999,Tom Verhoeff,ISC member
2000,Zide Du,Chairman
2000,António Caleço,IC member
2000,Don Piele,IC member
2000,Göktürk Üçoluk ,IC member
2000,Ha Jine Kimn,IC member
2000,Jari Koivisto,IC member
2000,Lionel Hartmann,IC member
2000,Richard Forster,IC member
2000,Stanisław Waligórski,IC member
2000,Vladimir Kiryukhin,IC member
