Rank,Name,Country,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Score,Rel_score(%),Award
1,Tsvetomir Petrov,Bulgaria, , , , , , , , ,160,80.00,Gold
2,Fridtjof Siebert,Germany, , , , , , , , ,153,76.50,Gold
3,Teodor Tonchev,Bulgaria, , , , , , , , ,147,73.50,Gold
4,Dmitry Feichtner-Kozlov,Soviet Union, , , , , , , , ,144,72.00,Gold
5,Dániel Szabó,Hungary, , , , , , , , ,130,65.00,Gold
6,Georgy Datuashvili,Soviet Union, , , , , , , , ,127,63.50,Gold
7,Xiaoye Jiang,China, , , , , , , , ,119,59.50,Gold
8,Nicolas Kuzminski,Argentina, , , , , , , , ,111,55.50,Gold
9,Li Jian,China, , , , , , , , ,108,54.00,Silver
9,Yang Cheng,China, , , , , , , , ,108,54.00,Silver
11,Jacek Chrząszcz,Poland, , , , , , , , ,106,53.00,Silver
12,Trần Hoài Linh,Vietnam, , , , , , , , ,104,52.00,Silver
13,Andrei Horia Căldăraru,Romania, , , , , , , , ,103,51.50,Silver
14,Aleksandar Šušnjar,Yugoslavia, , , , , , , , ,98,49.00,Silver
15,Ulf Nieländer,German Democratic Republic, , , , , , , , ,97,48.50,Silver
16,Christian Kloss,Germany, , , , , , , , ,91,45.50,Silver
16,Hornák Zoltán,Hungary, , , , , , , , ,91,45.50,Silver
18,Oleg Taborovets,Belarus, , , , , , , , ,90,45.00,Silver
19,Yunhe Yang,China, , , , , , , , ,88,44.00,Bronze
20,Miroslav Kocan,Czechoslovakia, , , , , , , , ,87,43.50,Bronze
21,Petter Eriksson,Sweden, , , , , , , , ,83,41.50,Bronze
22,Abdul Martínez Castro,Cuba, , , , , , , , ,82,41.00,Bronze
22,Nguyễn Việt Hà,Vietnam, , , , , , , , ,82,41.00,Bronze
24,Igor Maly,Czechoslovakia, , , , , , , , ,80,40.00,Bronze
24,Rafał Bogacz,Poland, , , , , , , , ,80,40.00,Bronze
26,Yuri Zaitsev,Soviet Union, , , , , , , , ,79,39.50,Bronze
27,Dario Robak,Argentina, , , , , , , , ,76,38.00,Bronze
28,Nguyen Linh Anh,Vietnam, , , , , , , , ,75,37.50,Bronze
29,Leon Magdić,Yugoslavia, , , , , , , , ,74,37.00,Bronze
30,Sergey Linev,Belarus, , , , , , , , ,72,36.00,Bronze
