Year,Country,Name,Role
1989,Bulgaria,Krassimir Manev,Leader
1989,Bulgaria,Pavel Azalov,Leader
1989,Bulgaria,Petar Kenderov,Chairman
1989,China,Wenhu Wu,Leader
1989,China,Qiyu Ling,Deputy leader
1989,China,S. Chen,IC member
1989,Cuba,Daniel de Bittencourt,Leader
1989,Cuba,Alejandro Pita Hernández,IC member
1989,Czechoslovakia,O. Demacek,Leader
1989,German Democratic Republic,Michael Fothe,Leader
1989,Germany,Peter Heyderhoff,IC member
1989,Greece,A.Georgopoulou,Deputy leader
1989,Greece,Christos Kilias,IC member
1989,Hungary,Turul Török,Leader
1989,Hungary,László Zsakó,Deputy leader
1989,Poland,Stanisław Waligórski,IC member
1989,Soviet Union,A.Abdrachmanov,Leader
1989,Soviet Union,Y.Zaidelman,Leader
1989,Soviet Union,Vladimir Kiryukhin,IC member
1989,Vietnam,Dam Ho Si,Leader
1989,Yugoslavia,M.Petrushev,Leader
1989,Zimbabwe,S. Mahere,IC member
1990,Argentina,Sergio Porter,Leader
1990,Argentina,Alicia Bañuelos,IC member
1990,Belarus,Vladimir Kotov,Leader
1990,Bulgaria,Margarita  Gorancheva,Deputy leader
1990,Bulgaria,Pavel Azalov,IC member
1990,Bulgaria,Kosta Garov,Observer
1990,Bulgaria,Krassimir Manev,Observer
1990,China,Hongxi Xue,Deputy leader
1990,China,Wenhu Wu,IC member
1990,Cuba,Ernesto Bennet Rodríguez,Leader
1990,Czechoslovakia,Peter Tomscanyi,Leader
1990,German Democratic Republic,Michael Fothe,Leader
1990,Germany,Peter Heyderhoff,IC member
1990,Greece,Christos Kilias,IC member
1990,Hungary,Péter Hanák,Leader
1990,Hungary,László Horváth,Deputy leader
1990,Italy,Margherita Iollo,Leader
1990,Kuwait,A. Hajaj,Leader
1990,Mongolia,C. Purevshalsad,Leader
1990,Morocco,H. Abdelouahad,Leader
1990,Netherlands,Ard Hartsuiker,Deputy leader
1990,Netherlands,Ries Kock,IC member
1990,Norway,Suein Hauge,Leader
1990,Poland,Andrzej Walat,Leader
1990,Poland,Stanisław Waligórski,Leader
1990,Republic of Korea,Von Li Yen,Leader
1990,Romania,Horia Ioan Georgescu,Leader
1990,Soviet Union,N. Krasovsky,Chairman
1990,Soviet Union,Vladimir Kiryukhin,IC member
1990,Spain,L. Villacorta,Leader
1990,Sweden,Håkan Strömberg,IC member
1990,United Kingdom,James Walt,IC member
1990,Vietnam,Dam Ho Si,Leader
1990,Yugoslavia,Jozef Kratica,Leader
1991,Argentina,Alicia Bañuelos,IC member
1991,Belarus,Yuri Korgenevich,Leader
1991,Bulgaria,Pavel Azalov,IC member
1991,China,Wenhu Wu,Leader
1991,China,Hongxi Xue,Deputy leader
1991,Cuba,Manuel Toledo,Leader
1991,Cuba,Francisco José Hernández González,Deputy leader
1991,Cyprus,Apostolos Kolokas,Leader
1991,Czechoslovakia,Peter Tomscanyi,Leader
1991,Germany,Peter Heyderhoff,IC member
1991,Greece,Spyros Bakogiannis,Leader
1991,Greece,Christos Kilias,Chairman
1991,Greece,George Philokyprou,Chairman
1991,Hungary,Tamás Mohay,Deputy leader
1991,Hungary,Péter Hanák,IC member
1991,Italy,Nikos Kanellopoulos,Leader
1991,Mongolia,Yadamjav Zeneemeder,Leader
1991,Netherlands,Ard Hartsuiker,Leader
