Year,Country,Name,Role
2022,Argentina,Mariano Maluf,Leader
2022,Argentina,Agustín Santiago Gutiérrez,Deputy leader
2022,Armenia,Armen Andreasyan,Leader
2022,Armenia,Levon Muradyan,Deputy leader
2022,Australia,Kevin Tran,Leader
2022,Australia,Angus Ritossa,Deputy leader
2022,Australia,Benjamin Burton,President
2022,Austria,Gerald Futschek,Leader
2022,Austria,Wolfgang Thaller,Deputy leader
2022,Azerbaijan,Rashad Mammadov,Leader
2022,Azerbaijan,Ibrahim Taghizade,Deputy leader
2022,Azerbaijan,Araz Yusubov,IC member
2022,Bangladesh,Mohammad Sohel Rahman,Leader
2022,Bangladesh,Mohammad Kaykobad,Deputy leader
2022,Belgium,Damien Leroy,Leader
2022,Belgium,Robin Jadoul,Deputy leader
2022,Bolivia,Rodolfo Catunta,Leader
2022,Bolivia,Nicolas Mateo Valdivia Viscarra,Deputy leader
2022,Bolivia,Jhonatan Castro,IC member
2022,Bosnia and Herzegovina,Haris Gavranović,Leader
2022,Bosnia and Herzegovina,Adnan Šalaka,Deputy leader
2022,Brazil,Flavia Pisani,Leader
2022,Brazil,Arthur Ferreira do Nascimento,Deputy leader
2022,Brazil,Ricardo Anido,IC member
2022,Brazil,André Amaral de Sousa,Guest
2022,Bulgaria,Emil Kelevedjiev,Leader
2022,Bulgaria,Dobrin Bashev,Deputy leader
2022,Canada,Troy Vasiga,Leader
2022,Canada,Paul McGrath,Deputy leader
2022,Canada,John-Paul Pretti,Secretary
2022,Chile,Javier Marinkovic,Leader
2022,Chile,Manuel Pérez,Deputy leader
2022,Chile,Catherine Espinoza,IC member
2022,China,Qiyang Zhao,Leader
2022,China,Xin Zhao,Deputy leader
2022,China,Baolin Yin,Guest
2022,China,Guojie Luo,Guest
2022,China,Hong Wang,Guest
2022,China,Miao Zhou,Guest
2022,China,Tingting Jiang,Guest
2022,China,Wentao Han,Guest
2022,China,Yaoliang Yang,Guest
2022,China,Zide Du,Guest
2022,Colombia,Mario Cruz,Leader
2022,Colombia,Roger Trujillo,Deputy leader
2022,Croatia,Krešimir Malnar,Leader
2022,Croatia,Ivan Paljak,Deputy leader
2022,Croatia,Matej Ferenčević,Guest
2022,Croatia,Paula Vidas,Guest
2022,Cuba,Leonardo Cardona Luque,Leader
2022,Cuba,Francisco José Hernández González,Deputy leader
2022,Cuba,Pedro Rajadel Peña,Guest
2022,Cyprus,Dimitris Leivadiotis,Leader
2022,Cyprus,Konstantinos Tziapouras,Deputy leader
2022,Czech Republic,Matěj Konečný,Leader
2022,Czech Republic,Josef Minařík,Deputy leader
2022,Czech Republic,Martin Mareš,ITC member
2022,Denmark,David Rasmussen Lolck,Leader
2022,Denmark,William Bille Meyling,Deputy leader
