Name,Role
Greg Lee,President
Ricardo Anido,Secretary
Eljakim Schrijvers,Treasurer
Kazuo Furukawa,Chairman
Araz Yusubov,IC member
Eslam Wageed,IC member
Krešimir Malnar,IC member
Mathias Hiron,IC member
Mile Jovanov,IC member
Mohammad Ali Abam,IC member
Seiichi Tani,IC member
Sun Teck Tan,IC member
Valentina Dagienė,IC member
Ali Sharifi Zarchi,ISC member
Farid Ahmadov,ISC member
Jakub Łącki,ISC member
Jonathan Irvin Gunawan,ISC member
Richard Peng,ISC member
Tetsushi Ito,ISC member
Wei Liang Gan,ISC member
Bernard Blackham,ITC member
Hamid Zarrabi-Zadeh,ITC member
Jamaladdin Hasanov,ITC member
Martin Mareš,ITC member
Ranald Yun Shao Lam,ITC member
Rie Shigetomi Yamaguchi,ITC member
William Di Luigi,ITC member
