Rank,Name,Country,Score,Rel_score(%),Award
1,Reid Barton,United States of America,580,96.67,Gold
2,Mihai Patrascu,Romania,525,87.50,Gold
3,Ziqing Mao,China,485,80.83,Gold
4,Daniel Jasper,Germany,470,78.33,Gold
5,Andrey Rumyantsev,Russia,462,77.00,Gold
6,Bruce Merry,South Africa,445,74.17,Gold
7,Teemu Murtola,Finland,441,73.50,Gold
8,David Zhang,Canada,439,73.17,Gold
9,Wan Yeong Jung,Republic of Korea,430,71.67,Gold
10,Richard Gregory Smith,United Kingdom,427,71.17,Gold
11,Tomasz Malesinski,Poland,422,70.33,Gold
12,Ján Oravec,Slovakia,420,70.00,Gold
13,Nabil Christopher Moh Heng Ping,Singapore,417,69.50,Gold
14,Velin Tzanov,Bulgaria,416,69.33,Gold
15,Marián Dvorský,Slovakia,415,69.17,Gold
15,Roie Marianer,Israel,415,69.17,Gold
17,Martin Pettai,Estonia,413,68.83,Gold
18,Zhivko Ganev,Bulgaria,407,67.83,Gold
19,Mohamad-Hadi Fouroghmand Aarabi,Iran,394,65.67,Gold
20,Nayana Somaratna,Sri Lanka,390,65.00,Gold
21,Dong Jin Lee,Republic of Korea,386,64.33,Gold
21,Tay Kah Keng,Singapore,386,64.33,Gold
23,Vlad Dascalu,Romania,378,63.00,Gold
24,Jurgis Pašukonis,Lithuania,376,62.67,Silver
25,Frane Saric,Croatia,375,62.50,Silver
25,Tom Widland,United States of America,375,62.50,Silver
27,Yair Chuchem,Israel,374,62.33,Silver
28,Mika Pruikkonen,Finland,373,62.17,Silver
28,Thanh Hoai Tran,Vietnam,373,62.17,Silver
30,Paweł Parys,Poland,370,61.67,Silver
31,Pablo Dal Lago,Argentina,363,60.50,Silver
32,Damir Tubin,Croatia,362,60.33,Silver
33,Ádám Ritter,Hungary,360,60.00,Silver
34,Bjarke Roune,Denmark,353,58.83,Silver
35,Johan Heinrich Du Toit,South Africa,351,58.50,Silver
36,Pavel Čížek,Czech Republic,344,57.33,Silver
37,Mateusz Kwaśnicki,Poland,343,57.17,Silver
38,Tomáš Záthurecký,Slovakia,338,56.33,Silver
39,Ádám Novák,Hungary,330,55.00,Silver
40,Jozef Tvarožek,Slovakia,329,54.83,Silver
40,Nicholas Krempel,United Kingdom,329,54.83,Silver
42,Ģirts Folkmanis,Latvia,324,54.00,Silver
43,Petko Minkov,Bulgaria,322,53.67,Silver
44,Ngoc Nguyen Phuong,Vietnam,321,53.50,Silver
45,Michael Siepmann,Germany,320,53.33,Silver
45,Roman Pastoukhov,Russia,320,53.33,Silver
47,Tay Kah Seng,Singapore,319,53.17,Silver
48,Vladimir Novakovski,United States of America,315,52.50,Silver
49,Fredrik Jansson,Finland,313,52.17,Silver
50,Nuttapong Chentanez,Thailand,312,52.00,Silver
51,Wenjie Fu,China,305,50.83,Silver
52,Ji Won Kim,Republic of Korea,299,49.83,Silver
53,Chiu Jiawei,Singapore,297,49.50,Silver
53,Duc Viet Dung Hoang,Vietnam,297,49.50,Silver
55,Mugurel-Ionut Andreica,Romania,296,49.33,Silver
55,Quang Khai Tran,Vietnam,296,49.33,Silver
