Rank,Name,Country,Task 1,Task 2,Score,Rel_score(%),Award
1,Wan Yeong Jung,Republic of Korea,260,250,510,85.00,Gold
2,Paweł Parys,Poland,263,195,458,76.33,Gold
3,Velin Tzanov,Bulgaria,213,235,448,74.67,Gold
4,Tiankai Liu,United States of America,220,195,415,69.17,Gold
5,Radu Berinde,Romania,158,240,398,66.33,Gold
6,Kyung Yoon Oh,Republic of Korea,200,190,390,65.00,Gold
7,Petr Mitritchev,Russia,130,255,385,64.17,Gold
8,Yin Wang,Taiwan,168,210,378,63.00,Gold
9,Octavian-Daniel  Dumitran,Romania,152,220,372,62.00,Gold
10,Aleksandrs Belovs,Latvia,186,175,361,60.17,Gold
11,Petr Kalinin,Russia,156,200,356,59.33,Gold
12,Yifei Zhang,China,180,170,350,58.33,Gold
13,Martin Pettai,Estonia,92,255,347,57.83,Gold
14,Qiming Hou,China,111,235,346,57.67,Gold
15,Wei Yu,China,140,200,340,56.67,Gold
16,Peter Bella,Slovakia,139,200,339,56.50,Gold
17,Mohammad-Hossein Bateni,Iran,172,160,332,55.33,Gold
18,Andrejs Ivanovs,Latvia,144,185,329,54.83,Gold
19,Hyung-Sul Kim,Republic of Korea,170,140,310,51.67,Gold
20,Josef Cibulka,Czech Republic,82,225,307,51.17,Gold
21,Yair Chuchem,Israel,176,121,297,49.50,Gold
22,Daniel Andersson,Sweden,131,165,296,49.33,Gold
22,Quang Khai Tran,Vietnam,126,170,296,49.33,Gold
24,Jacob Burnim,United States of America,102,191,293,48.83,Silver
25,Dmitri Pavlov,Russia,91,200,291,48.50,Silver
26,Widagdo Setiawan,Indonesia,156,134,290,48.33,Silver
27,Petro Luferenko,Ukraine,143,146,289,48.17,Silver
28,Benjamin Gaillard,France,248,40,288,48.00,Silver
29,Tomáš Dzetkulič,Slovakia,195,91,286,47.67,Silver
30,David Zhang,Canada,68,215,283,47.17,Silver
31,Hieu Nguyen Van,Vietnam,108,172,280,46.67,Silver
32,Marius Victor Costan,Romania,123,155,278,46.33,Silver
