Rank,Name,Country,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Score,Rel_score(%),Award
1,Gennady Korotkevich,Belarus,43,100,100,100,100,100,100,100,743,92.88,Gold
2,Kazuhiro Hosaka,Japan,54,100,100,100,100,100,75,100,729,91.12,Gold
3,YiHan Gao,China,61,100,100,100,100,100,100,60,721,90.12,Gold
3,Zi Chao Qi,China,21,100,100,100,100,100,100,100,721,90.12,Gold
5,Dong Gu Kang,Republic of Korea,41,100,100,100,100,84,85,100,710,88.75,Gold
6,Szu-Po Wang,Taiwan,71,94,100,100,100,100,25,100,690,86.25,Gold
7,Neal Wu,United States of America,21,100,100,100,100,84,75,85,665,83.12,Gold
7,Tomasz Kociumaka,Poland,20,100,100,100,100,100,45,100,665,83.12,Gold
9,JieMing Mao,China,35,100,100,100,100,100,24,100,659,82.38,Gold
10,Bogdan-Cristian Tataroiu,Romania,18,100,100,100,100,84,55,100,657,82.12,Gold
11,Jelle van den Hooff,Netherlands,21,60,100,100,100,100,70,100,651,81.38,Gold
11,Pi-Hsun Shih,Taiwan,48,53,100,100,100,100,55,95,651,81.38,Gold
13,Dzmitry Bahdanau,Belarus,20,100,100,100,100,100,25,100,645,80.62,Gold
14,Motoki Takigiku,Japan,28,100,100,100,100,100,40,75,643,80.38,Gold
15,Brian Hamrick,United States of America,52,100,100,100,100,100,50,40,642,80.25,Gold
16,Fabian Gundlach,Germany,20,100,100,100,100,84,35,100,639,79.88,Gold
17,Yaroslav Tverdokhlib,Ukraine,9,94,100,100,100,100,75,60,638,79.75,Gold
18,Cosmin Gheorghe,Romania,20,100,100,100,100,83,30,100,633,79.12,Gold
19,Sergey Fedorov,Russia,16,100,100,100,100,100,15,100,631,78.88,Gold
20,Visit Pataranutaporn,Thailand,36,94,100,100,100,100,35,62,627,78.38,Gold
21,Stjepan Glavina,Croatia,20,60,100,100,100,84,60,100,624,78.00,Gold
22,Hanson Wang,Canada,20,100,100,100,100,100,0,100,620,77.50,Gold
22,Jae Sung Park,Republic of Korea,20,100,100,100,100,100,40,60,620,77.50,Gold
24,Jarosław Błasiok,Poland,21,84,100,100,100,100,13,100,618,77.25,Gold
25,Ali Babaei Chshmehahmadrezaei,Iran,20,100,100,100,100,84,12,100,616,77.00,Gold
25,Hyung Suk Yoon,Republic of Korea,54,100,100,100,100,100,0,62,616,77.00,Gold
27,Erjin Zhou,China,39,53,100,100,100,81,80,62,615,76.88,Silver
28,Wenyu Cao,United States of America,21,100,100,100,100,100,30,62,613,76.62,Silver
29,Sergey Rogulenko,Russia,27,100,100,100,100,84,11,85,607,75.88,Silver
30,Man Hin Jeffrey Hon,"Hong Kong, China",13,100,100,100,100,100,7,85,605,75.62,Silver
31,Rumen Hristov,Bulgaria,20,100,100,100,100,46,30,100,596,74.50,Silver
32,Stepan Palamarchuk,Ukraine,20,94,100,100,100,84,55,40,593,74.12,Silver
33,Makoto Soejima,Japan,5,100,100,100,100,100,0,85,590,73.75,Silver
34,Soheil Ehsani Banafti,Iran,25,100,100,100,100,69,30,62,586,73.25,Silver
35,Chiam Jia-Han,Singapore,21,61,100,100,100,100,14,87,583,72.88,Silver
36,Abhabongse Janthong,Thailand,19,94,100,100,100,84,15,62,574,71.75,Silver
37,Adam Karczmarz,Poland,22,88,100,100,100,0,60,100,570,71.25,Silver
38,Che Yang Wu,Taiwan,21,94,100,100,100,84,30,40,569,71.12,Silver
39,Robin Cheng,Canada,20,94,100,100,100,80,55,17,566,70.75,Silver
39,Travis Hance,United States of America,21,100,100,100,100,100,5,40,566,70.75,Silver
41,Mikhail Kharitonov,Russia,10,75,100,100,100,64,15,100,564,70.50,Silver
42,Fereshte Khani,Iran,33,100,100,100,100,67,35,25,560,70.00,Silver
43,Tomáš Belan,Slovakia,21,49,100,100,100,76,45,62,553,69.12,Silver
