Rank,Name,Country,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Score,Rel_score(%),Award
1,Benjamin Qi,United States of America,100,100,100,63,100,36,499,83.17,Gold
2,Maolong Yang,China,100,70,49,100,90,60,469,78.17,Gold
3,Zhenting Zhu,China,100,37,100,100,69,60,466,77.67,Gold
4,Nikoloz Birkadze,Georgia,100,37,100,100,90,36,463,77.17,Gold
5,Aliaksandr Kernazhytski,Belarus,100,70,49,100,51,60,430,71.67,Gold
6,Jianglun Chen,China,100,31,100,86,51,60,428,71.33,Gold
6,Wataru Inoue,Japan,100,17,100,100,51,60,428,71.33,Gold
8,Atacan İyidoğan,Türkiye,100,17,100,100,51,36,404,67.33,Gold
9,Eric Zhang,United States of America,100,37,49,100,51,60,397,66.17,Gold
10,Duc Thang Pham,Vietnam,100,17,100,86,51,36,390,65.00,Gold
11,Ramazan Rakhmatullin,Russia,100,37,49,86,51,60,383,63.83,Gold
12,Younghun Roh,Republic of Korea,100,37,49,100,51,36,373,62.17,Gold
13,Spencer Compton,United States of America,100,37,49,72,51,60,369,61.50,Gold
14,Nir Shalmon,Israel,100,31,49,100,51,36,367,61.17,Gold
14,Zi Song Yeoh,Malaysia,100,17,100,39,90,21,367,61.17,Gold
16,Giorgi Kldiashvili,Georgia,100,17,100,100,12,36,365,60.83,Gold
17,Taekyu Kang,Republic of Korea,100,25,49,100,69,19,362,60.33,Gold
Guest,Masataka Yoneda,Japan 2,97,37,49,53,90,36,362,60.33,Gold
18,Sebin Kim,Republic of Korea,100,37,49,63,51,60,360,60.00,Gold
19,Andrei Nekrashevich,Belarus,100,70,49,86,18,36,359,59.83,Gold
20,Gabriel Kheng Lin Goh,Singapore,100,17,49,100,51,36,353,58.83,Gold
20,Vladimir Romanov,Russia,100,17,49,100,51,36,353,58.83,Gold
22,Mariusz Trela,Poland,100,11,100,100,0,36,347,57.83,Gold
23,Xuandi Ren,China,100,37,100,53,18,36,344,57.33,Gold
24,Aleksandar Krastev,Bulgaria,100,17,15,100,51,60,343,57.17,Gold
25,Anadi Agrawal,Poland,100,17,49,100,51,19,336,56.00,Gold
25,Carlos Miguel Soto,Argentina,100,0,49,100,51,36,336,56.00,Gold
25,Daniil Smelskyi,Ukraine,100,37,49,63,51,36,336,56.00,Gold
25,Joey Yu,Canada,100,37,49,63,51,36,336,56.00,Gold
25,Mohammad Mahdavi,Iran,100,37,49,63,51,36,336,56.00,Gold
30,Théophane Vallaeys,France,100,11,100,53,51,19,334,55.67,Silver
31,Jerry Mao,Australia,100,37,49,100,11,36,333,55.50,Silver
32,Albert Smith,Australia,100,17,100,26,51,36,330,55.00,Silver
33,Alex Tatomir,Romania,100,37,49,53,51,36,326,54.33,Silver
33,Angus Ritossa,Australia,100,37,49,53,51,36,326,54.33,Silver
33,Mikhail Anoprenko,Russia,100,37,49,53,51,36,326,54.33,Silver
33,Steven Wijaya,Indonesia,100,37,49,86,18,36,326,54.33,Silver
37,Xuan Nhat Hoang,Vietnam,100,37,15,86,51,36,325,54.17,Silver
38,Fredrik Ekholm,Sweden,100,11,49,53,51,60,324,54.00,Silver
39,Etienne Rossignol,France,97,37,49,62,18,60,323,53.83,Silver
40,Tiberiu-Ioan Mușat,Romania,100,37,49,100,0,36,322,53.67,Silver
Guest,Hirotaka Yoneda,Japan 2,100,31,49,86,18,36,320,53.33,Silver
41,Abdul Malik Nurrokhman,Indonesia,100,17,15,100,51,36,319,53.17,Silver
42,Jacob Por Loong Teo,Singapore,100,37,49,43,51,36,316,52.67,Silver
42,Nazarii Denha,Ukraine,100,17,49,63,51,36,316,52.67,Silver
44,Tautvydas Jasiūnas,Lithuania,100,17,49,100,12,36,314,52.33,Silver
44,Vladimir Maksimovski,North Macedonia,100,31,15,63,69,36,314,52.33,Silver
46,Victor Rong,Canada,100,31,49,100,11,19,310,51.67,Silver
47,Roee Sinai,Israel,100,37,49,100,18,4,308,51.33,Silver
47,Shih-Yu Wang,Taiwan,100,17,49,72,51,19,308,51.33,Silver
49,Attila Gáspár,Hungary,100,5,49,100,51,0,305,50.83,Silver
Guest,Yasutaka Hiraki,Japan 2,100,37,49,49,51,19,305,50.83,Silver
50,Martynas Sinkievič,Lithuania,100,17,100,0,51,36,304,50.67,Silver
51,Daniyar Zakarin,Kazakhstan,97,17,49,53,51,36,303,50.50,Silver
51,Pavle Martinović,Serbia,100,37,49,63,18,36,303,50.50,Silver
51,Tasmeem Reza,Bangladesh,97,17,100,2,51,36,303,50.50,Silver
54,Stanislau Tsitsianok,Belarus,100,17,49,100,0,36,302,50.33,Silver
55,Björn Magnusson,Sweden,100,17,49,86,12,36,300,50.00,Silver
56,Dao-Yun Peng,Taiwan,100,37,100,6,18,36,297,49.50,Silver
57,Josip Klepec,Croatia,100,11,49,100,0,36,296,49.33,Silver
58,Gyojun Youn,Republic of Korea,100,5,49,86,51,4,295,49.17,Silver
